Timestamp,Container,CPU Usage,Memory Usage
2023-11-24 20:09,Visualizer,63.17%,297.1
2023-11-24 20:09,EVAM,18.14%,80.2
2023-11-24 20:14,Visualizer,61.23%,297.1
2023-11-24 20:14,EVAM,19.64%,88.83
2023-11-24 20:19,Visualizer,64.29%,297.1
2023-11-24 20:19,EVAM,18.59%,80.19
2023-11-24 20:24,Visualizer,58.86%,297.1
2023-11-24 20:24,EVAM,17.98%,80.19
2023-11-24 20:29,Visualizer,57.84%,297.1
2023-11-24 20:29,EVAM,19.46%,79.8
2023-11-24 20:34,Visualizer,61.06%,297.1
2023-11-24 20:34,EVAM,19.12%,79.19
2023-11-24 20:39,Visualizer,59.82%,297.1
2023-11-24 20:39,EVAM,19.03%,79.69
2023-11-24 20:44,Visualizer,59.46%,297.1
2023-11-24 20:44,EVAM,19.93%,88.32
2023-11-24 20:50,Visualizer,62.09%,297.6
2023-11-24 20:50,EVAM,17.73%,79.66
2023-11-24 20:55,Visualizer,60.25%,298.1
2023-11-24 20:55,EVAM,18.90%,80.18
2023-11-24 21:00,Visualizer,58.46%,297.1
2023-11-24 21:00,EVAM,19.30%,88.82
2023-11-24 21:05,Visualizer,57.44%,297.1
2023-11-24 21:05,EVAM,18.69%,80.2
2023-11-24 21:10,Visualizer,57.49%,297.1
2023-11-24 21:10,EVAM,19.38%,80.18
2023-11-24 21:15,Visualizer,61.43%,297.1
2023-11-24 21:15,EVAM,19.81%,88.73
2023-11-24 21:20,Visualizer,60.67%,297.1
2023-11-24 21:20,EVAM,17.72%,79.68
2023-11-24 21:25,Visualizer,58.16%,297.1
2023-11-24 21:25,EVAM,17.96%,80.18
2023-11-24 21:30,Visualizer,60.66%,297.1
2023-11-24 21:30,EVAM,19.05%,88.3
2023-11-24 21:35,Visualizer,58.85%,297.1
2023-11-24 21:35,EVAM,19.36%,79.68
2023-11-24 21:40,Visualizer,61.52%,297.1
2023-11-24 21:40,EVAM,18.47%,88.31
2023-11-24 21:45,Visualizer,59.99%,297.2
2023-11-24 21:45,EVAM,17.82%,80.18
2023-11-24 21:50,Visualizer,58.75%,297.1
2023-11-24 21:50,EVAM,19.31%,88.74
2023-11-24 21:55,Visualizer,61.54%,297.1
2023-11-24 21:55,EVAM,18.09%,80.19
2023-11-24 22:00,Visualizer,61.26%,297.1
2023-11-24 22:00,EVAM,18.40%,79.7
2023-11-24 22:05,Visualizer,58.97%,297.1
2023-11-24 22:05,EVAM,17.73%,80.18
2023-11-24 22:11,Visualizer,61.28%,297.1
2023-11-24 22:11,EVAM,19.34%,80.32
2023-11-24 22:16,Visualizer,60.38%,297.1
2023-11-24 22:16,EVAM,19.61%,88.3
